,goog_publishedat,goog_sentiment,goog_sentiment_score
153,2025-09-15,positive,0.9964488744735718
154,2025-09-15,neutral,0.0
155,2025-09-14,neutral,0.0
156,2025-09-14,negative,0.9988369345664978
157,2025-09-14,neutral,0.0
158,2025-09-14,neutral,0.0
159,2025-09-14,neutral,0.0
160,2025-09-13,neutral,0.0
161,2025-09-13,neutral,0.0
162,2025-09-13,negative,0.5819645524024963
163,2025-09-13,neutral,0.0
164,2025-09-13,positive,0.89933842420578
165,2025-09-12,neutral,0.0
166,2025-09-12,positive,0.9999998807907104
167,2025-09-12,neutral,0.0
168,2025-09-12,positive,0.9998859167098999
169,2025-09-12,positive,0.9998859167098999
170,2025-09-11,positive,0.7325727939605713
171,2025-09-11,neutral,0.0
172,2025-09-11,neutral,0.0
173,2025-09-11,neutral,0.0
174,2025-09-11,positive,0.9990853071212769
175,2025-09-10,neutral,0.0
176,2025-09-10,neutral,0.0
177,2025-09-10,neutral,0.0
178,2025-09-10,negative,0.6874220967292786
179,2025-09-10,neutral,0.0
180,2025-09-09,neutral,0.0
181,2025-09-09,positive,0.9999868869781494
182,2025-09-09,negative,0.9237076044082642
183,2025-09-09,negative,0.8026992678642273
184,2025-09-09,neutral,0.0
185,2025-09-08,neutral,0.0
186,2025-09-08,negative,0.9972969889640808
187,2025-09-08,neutral,0.0
188,2025-09-08,positive,0.8104525804519653
189,2025-09-08,positive,0.9999338388442993
190,2025-09-07,neutral,0.0
191,2025-09-07,positive,0.9999185800552368
192,2025-09-07,neutral,0.0
193,2025-09-07,neutral,0.0
194,2025-09-07,negative,0.79426509141922
195,2025-09-06,neutral,0.0
196,2025-09-06,neutral,0.0
197,2025-09-06,neutral,0.0
198,2025-09-06,neutral,0.0
199,2025-09-06,neutral,0.0
200,2025-09-05,neutral,0.0
201,2025-09-05,neutral,0.0
202,2025-09-05,negative,0.999990701675415
203,2025-09-04,neutral,0.0
204,2025-09-04,neutral,0.0
205,2025-09-04,neutral,0.0
206,2025-09-04,neutral,0.0
207,2025-09-04,positive,1.0
208,2025-09-03,negative,0.6686825752258301
209,2025-09-03,neutral,0.0
210,2025-09-03,neutral,0.0
211,2025-09-03,negative,0.7320019602775574
212,2025-09-03,negative,0.9481605887413025
213,2025-09-02,negative,0.9987164735794067
214,2025-09-02,neutral,0.0
215,2025-09-02,negative,0.654116690158844
216,2025-09-02,negative,0.8002498745918274
217,2025-09-02,negative,0.9649202823638916
218,2025-09-01,negative,0.9999312162399292
219,2025-09-01,neutral,0.0
220,2025-09-01,negative,0.9999762773513794
221,2025-09-01,neutral,0.0
222,2025-09-01,neutral,0.0
223,2025-08-31,neutral,0.0
224,2025-08-31,negative,0.9999996423721313
225,2025-08-31,neutral,0.0
226,2025-08-31,neutral,0.0
227,2025-08-31,neutral,0.0
228,2025-08-30,positive,0.9999953508377075
229,2025-08-30,negative,0.9993323683738708
230,2025-08-30,neutral,0.0
231,2025-08-30,neutral,0.0
232,2025-08-30,negative,0.998705267906189
233,2025-08-29,neutral,0.0
234,2025-08-29,positive,0.9999997615814209
235,2025-08-29,neutral,0.0
236,2025-08-29,neutral,0.0
237,2025-08-29,neutral,0.0
238,2025-08-28,neutral,0.0
239,2025-08-28,neutral,0.0
240,2025-08-28,neutral,0.0
241,2025-08-28,neutral,0.0
242,2025-08-28,neutral,0.0
243,2025-08-27,negative,0.999996542930603
244,2025-08-27,neutral,0.0
245,2025-08-27,neutral,0.0
246,2025-08-27,positive,0.8965116143226624
247,2025-08-27,neutral,0.0
248,2025-08-26,neutral,0.0
249,2025-08-26,neutral,0.0
250,2025-08-26,positive,0.9995580315589905
251,2025-08-26,neutral,0.0
252,2025-08-26,neutral,0.0
253,2025-08-25,neutral,0.0
254,2025-08-25,neutral,0.0
255,2025-08-25,neutral,0.0
256,2025-08-25,negative,0.5760534405708313
257,2025-08-25,neutral,0.0
258,2025-08-24,neutral,0.0
259,2025-08-24,positive,0.848585844039917
260,2025-08-24,neutral,0.0
261,2025-08-24,neutral,0.0
262,2025-08-24,neutral,0.0
263,2025-08-23,neutral,0.0
264,2025-08-23,neutral,0.0
265,2025-08-23,neutral,0.0
266,2025-08-23,neutral,0.0
267,2025-08-23,neutral,0.0
268,2025-08-22,neutral,0.0
269,2025-08-22,neutral,0.0
270,2025-08-22,neutral,0.0
271,2025-08-22,neutral,0.0
272,2025-08-22,neutral,0.0
273,2025-08-21,neutral,0.0
274,2025-08-21,neutral,0.0
275,2025-08-21,neutral,0.0
276,2025-08-21,neutral,0.0
277,2025-08-21,neutral,0.0
278,2025-08-20,positive,0.9840356707572937
279,2025-08-20,neutral,0.0
280,2025-08-20,neutral,0.0
281,2025-08-20,neutral,0.0
282,2025-08-20,positive,0.9999982118606567
283,2025-08-19,negative,0.9999715089797974
284,2025-08-19,negative,0.9999990463256836
285,2025-08-19,neutral,0.0
286,2025-08-19,neutral,0.0
287,2025-08-19,neutral,0.0
288,2025-08-18,neutral,0.0
289,2025-08-18,negative,0.9999874830245972
290,2025-08-18,neutral,0.0
291,2025-08-18,negative,0.9999986886978149
292,2025-08-18,negative,0.9999982118606567
293,2025-08-17,neutral,0.0
294,2025-08-17,neutral,0.0
295,2025-08-17,neutral,0.0
296,2025-08-17,neutral,0.0
297,2025-08-17,neutral,0.0
298,2025-08-16,neutral,0.0
299,2025-08-16,neutral,0.0
300,2025-08-16,neutral,0.0
301,2025-08-16,positive,0.9998303651809692
302,2025-08-16,neutral,0.0
303,2025-08-15,neutral,0.0
304,2025-08-15,neutral,0.0
305,2025-08-15,neutral,0.0
306,2025-08-15,neutral,0.0
307,2025-08-15,positive,0.9998955726623535
308,2025-08-14,neutral,0.0
309,2025-08-14,neutral,0.0
310,2025-08-14,neutral,0.0
311,2025-08-14,positive,0.9457984566688538
312,2025-08-14,neutral,0.0
313,2025-08-13,negative,0.9999556541442871
314,2025-08-13,neutral,0.0
315,2025-08-13,neutral,0.0
316,2025-08-13,neutral,0.0
317,2025-08-13,neutral,0.0
318,2025-08-12,neutral,0.0
319,2025-08-12,positive,0.9997326731681824
320,2025-08-12,neutral,0.0
321,2025-08-12,neutral,0.0
322,2025-08-12,negative,0.6093531847000122
323,2025-08-11,neutral,0.0
324,2025-08-11,neutral,0.0
325,2025-08-11,positive,1.0
326,2025-08-11,neutral,0.0
327,2025-08-11,neutral,0.0
328,2025-08-10,neutral,0.0
329,2025-08-10,neutral,0.0
330,2025-08-10,neutral,0.0
331,2025-08-10,neutral,0.0
332,2025-08-10,neutral,0.0
333,2025-08-09,neutral,0.0
334,2025-08-09,negative,0.9997437596321106
335,2025-08-09,neutral,0.0
336,2025-08-09,neutral,0.0
337,2025-08-09,positive,0.9999402761459351
338,2025-08-08,positive,0.9344112873077393
339,2025-08-08,neutral,0.0
340,2025-08-08,neutral,0.0
341,2025-08-08,neutral,0.0
342,2025-08-08,neutral,0.0
343,2025-08-07,neutral,0.0
344,2025-08-07,neutral,0.0
345,2025-08-07,negative,0.999919056892395
346,2025-08-07,neutral,0.0
347,2025-08-07,neutral,0.0
348,2025-08-06,positive,0.9996583461761475
349,2025-08-06,neutral,0.0
350,2025-08-06,negative,0.9841242432594299
351,2025-08-06,neutral,0.0
352,2025-08-06,neutral,0.0
353,2025-08-05,negative,0.9905446767807007
354,2025-08-05,neutral,0.0
355,2025-08-05,neutral,0.0
356,2025-08-05,negative,0.8434430360794067
357,2025-08-05,positive,0.7766171097755432
358,2025-08-04,neutral,0.0
359,2025-08-04,neutral,0.0
360,2025-08-04,neutral,0.0
361,2025-08-04,neutral,0.0
362,2025-08-04,neutral,0.0
363,2025-08-03,neutral,0.0
364,2025-08-03,neutral,0.0
365,2025-08-03,neutral,0.0
366,2025-08-03,neutral,0.0
367,2025-08-02,negative,0.9979153275489807
368,2025-08-02,positive,0.9774420261383057
369,2025-08-02,negative,0.9970355033874512
370,2025-08-02,neutral,0.0
371,2025-08-02,neutral,0.0
372,2025-08-01,negative,0.7948870062828064
373,2025-08-01,negative,0.9999982118606567
374,2025-08-01,neutral,0.0
375,2025-08-01,negative,0.6053610444068909
376,2025-08-01,neutral,0.0
377,2025-07-31,neutral,0.0
378,2025-07-31,negative,0.9999843835830688
379,2025-07-31,positive,0.9999134540557861
380,2025-07-31,neutral,0.0
381,2025-07-31,neutral,0.0
382,2025-07-30,neutral,0.0
383,2025-07-30,neutral,0.0
384,2025-07-30,neutral,0.0
385,2025-07-30,negative,0.8364195227622986
386,2025-07-30,positive,0.9998565912246704
387,2025-07-29,neutral,0.0
388,2025-07-29,positive,0.9999954700469971
389,2025-07-29,neutral,0.0
390,2025-07-29,neutral,0.0
391,2025-07-29,neutral,0.0
392,2025-07-28,neutral,0.0
393,2025-07-28,neutral,0.0
394,2025-07-28,neutral,0.0
395,2025-07-28,neutral,0.0
396,2025-07-28,neutral,0.0
397,2025-07-27,neutral,0.0
398,2025-07-27,neutral,0.0
399,2025-07-27,positive,0.9999936819076538
400,2025-07-27,positive,0.9999091625213623
401,2025-07-27,positive,0.9996460676193237
402,2025-07-26,neutral,0.0
403,2025-07-26,neutral,0.0
404,2025-07-26,neutral,0.0
405,2025-07-26,neutral,0.0
406,2025-07-26,positive,0.9999997615814209
407,2025-07-25,neutral,0.0
408,2025-07-25,neutral,0.0
409,2025-07-25,negative,0.8309274911880493
410,2025-07-25,neutral,0.0
411,2025-07-25,neutral,0.0
412,2025-07-24,neutral,0.0
413,2025-07-24,neutral,0.0
414,2025-07-24,positive,0.9999884366989136
415,2025-07-24,neutral,0.0
416,2025-07-24,neutral,0.0
417,2025-07-23,positive,1.0
418,2025-07-23,negative,0.9962807297706604
419,2025-07-23,neutral,0.0
420,2025-07-23,neutral,0.0
421,2025-07-23,neutral,0.0
422,2025-07-22,positive,1.0
423,2025-07-22,negative,0.9999996423721313
424,2025-07-22,neutral,0.0
425,2025-07-22,neutral,0.0
426,2025-07-22,neutral,0.0
427,2025-07-21,positive,1.0
